goos: windows
goarch: amd64
pkg: sinesum
cpu: Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
BenchmarkSineSumInt/100pct-8         	      32	  36867066 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumInt/100pct-8         	      31	  36728513 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/1pct-8         	    5240	    217231 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/1pct-8         	    5466	    223940 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/1pct-8         	    5044	    222257 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/1pct-8         	    4959	    218115 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/1pct-8         	    5461	    226331 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/1pct-8         	    5022	    226363 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/10pct-8        	     483	   2203923 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/10pct-8        	     524	   2189532 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/10pct-8        	     544	   2256457 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/10pct-8        	     541	   2146368 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/10pct-8        	     542	   2207317 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/10pct-8        	     555	   2249133 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/20pct-8        	     271	   4921541 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/20pct-8        	     262	   4485961 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/20pct-8        	     255	   4380310 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/20pct-8        	     270	   4384669 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/20pct-8        	     274	   4428709 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/20pct-8        	     266	   4517155 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/30pct-8        	     176	   6670720 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/30pct-8        	     178	   6673532 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/30pct-8        	     183	   6607004 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/30pct-8        	     181	   6448292 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/30pct-8        	     180	   6528336 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/30pct-8        	     181	   6482251 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/40pct-8        	     136	   8863726 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/40pct-8        	     136	   8834226 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/40pct-8        	     133	   8837612 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/40pct-8        	     134	   8709389 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/40pct-8        	     136	   8736802 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/40pct-8        	     133	   8794375 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/50pct-8        	      99	  10945804 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/50pct-8        	     100	  10810625 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/50pct-8        	     100	  11037801 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/50pct-8        	     100	  10904712 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/50pct-8        	     100	  10842325 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/50pct-8        	      99	  10812358 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/60pct-8        	      94	  14768500 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/60pct-8        	      96	  13144868 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/60pct-8        	      85	  13360774 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/60pct-8        	      94	  13485580 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/60pct-8        	      86	  13262419 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/60pct-8        	      96	  13343932 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/70pct-8        	      80	  15397509 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/70pct-8        	      69	  15688232 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/70pct-8        	      68	  15529384 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/70pct-8        	      80	  15547508 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/70pct-8        	      76	  15426129 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/70pct-8        	      76	  15659634 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/80pct-8        	      66	  17612524 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/80pct-8        	      66	  17483395 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/80pct-8        	      69	  17957236 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/80pct-8        	      64	  18041266 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/80pct-8        	      67	  17911663 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/80pct-8        	      69	  17734980 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/90pct-8        	      61	  21319595 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/90pct-8        	      62	  19476715 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/90pct-8        	      57	  19368396 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/90pct-8        	      63	  19851494 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/90pct-8        	      57	  19577089 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/90pct-8        	      61	  21381087 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/100pct-8       	      55	  23725080 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/100pct-8       	      56	  21773275 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/100pct-8       	      55	  21659580 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/100pct-8       	      55	  21453604 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/100pct-8       	      52	  22281669 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumFloat/100pct-8       	      54	  21617154 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumProfile-8            	      51	  21454422 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumProfile-8            	      56	  24105038 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumProfile-8            	      55	  20786900 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumProfile-8            	      55	  21004678 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumProfile-8            	      58	  20471686 ns/op	       0 B/op	       0 allocs/op
BenchmarkSineSumProfile-8            	      55	  20472200 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	sinesum	188.270s
